type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes_1,default_attributes,attributes_2,image_id/gallery_image_ids,attributes_3,downloads,downloads_4,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
simple,,Коляска универсальная Anex Nixie,1,1,visible,,"<div class=""b-description"">
				<ol class=""justifyleft""><ol>Коляска универсальная Anex Nixie создана </ol></ol>
<p><span>для детей от 0 до 36 месяцев. Она легко и удобно </span><span>складывается как книга (без необходимости снимать колеса), имеет </span><span>надувные колеса с подшипником, передние колеса поворотные, фиксируемые при необходимости, удобный задний ножной тормоз. Ручка регулируется по высоте, выполнена из эко-кожи. Блоки реверсивные, то есть устанавливаются в любом направлении движения. Капюшон люльки и прогулочного блока имеет систему вентиляции и плавно регулируется.</span><span color=""#000000"" face=""ProximaNovaBold, sans-serif"" style=""color: #000000; font-family: ProximaNovaBold, sans-serif;""><span>В прогулочном блоке есть плавная регулировка положений спинки, пяти-точечные ремни безопасности, съемный бампер, регулируемая подножка.</span></span><span>Ширина шасси универсальной коляски Анекс Никси - 59см, что позволяет ей проезжать в любой лифт. Вес коляски 14-15кг в зависимости от комплектации. </span><span>В комплектацию входят: москитная сетка, дождевик, сумка для мамы, багажная корзина, шасси с колесами, прогулочный блок и люлька.</span><span>С универсальной коляской </span></p>
<p><span></span>Anex Nixie ваш малыш будет всегда счастлив на прогулке!</p>
<p>Производитель: Польша.</p>
				</div>",,,taxable,standard,1,0,1,,,1,,"7440,8",,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша) > Универсальные детские коляски Roan > Универсальные детские коляски Verdi (Польша) > Универсальные детские коляски Tutek (Польша) > Детские коляски Trans Baby (UA) > Универсальные детские коляски Ajax Group  > Детские коляски Anex,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/1092/universalnaya_kolyaska_2_v_1_anex_nixie_siny_7e2f5d927243572c12539e81e770ab08-500x500.jpg,,,,,,,,
simple,,Коляска универсальная Adamex Loran ,1,1,visible,,"<div class=""b-description"">
				<p>Универсальная коляска 2 в 1 Adamex Loran - новинка от польского производителя Adamex.</p>
<p>Особенности:</p>
<ul>
<li>
<p> глубокая легкая люлька с большим вентиляционным окном и козырьком от солнца;</p>
</li>
<li>
<p>возможность регулировки спинки в люльке;</p>
</li>
<li>
<p>удобная ручка-переноска в люльке;</p>
</li>
<li>
<p>мягкая пружинная система амортизации;</p>
</li>
<li>все колеса надувные на подшипниках;</li>
<li>
<p>покрытие ручки эко кожа, регулируемая;</p>
</li>
<li>
<p>возможность установки люльки и прогулочного блока по направлению и против направления движения;</p>
</li>
<li>
<p>большое вентиляционное окно в прогулочном блоке.</p>
</li>
<li>
<p>Надувные колеса, мягкая амортизация;</p>
</li>
<li>
<p>регулируемая, обтянутая пленкой подножка;</p>
</li>
<li>
<p>съемный бампер, ремни безопасности$</p>
</li>
<li>
<p>пеленальный столик;</p>
</li>
<li>
<p>сумка для мамы;</p>
</li>
<li>
<p>москитная сетка и дождевик.</p>
</li>
</ul>
<p>Данная коляска удобно совмещается с автокреслом Adamex Carlo.</p>
<p>Расцветки в ассортименте.</p>
<ul>
<li>
<p>Производитель: Adamex (Польша).</p>
</li>
</ul>
<p> </p>
				</div>",,,taxable,standard,1,0,1,,,1,,6943,,100,Коляски детские универсальные > Детские коляски Adamex ,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/473/Loran3.png,,,,,,,,
simple,,Коляска универсальная Anex Tempo,1,1,visible,,"<div class=""b-description"">
				<p>Коляска универсальная Anex Tempo создана для детей от 0 до 36 месяцев. Она легко и удобно складывается как книга (без необходимости снимать колеса), передние колеса поворотные, фиксируемые при необходимости, удобный задний ножной тормоз. Ручка регулируется по высоте, выполнена из эко-кожи. Прогулочный блок устанавливается в любом направлении движения. Капюшон люльки и прогулочного блока имеет систему вентиляции и плавно регулируется.В прогулочном блоке есть плавная регулировка положений спинки, пяти-точечные ремни безопасности, съемный бампер, регулируемая подножка.<br>Ширина шасси универсальной коляски Анекс Стелла - 59см, что позволяет ей проезжать в любой лифт. <br>В комплектацию входят: москитная сетка, дождевик, сумка для мамы, багажная корзина, алюминиевое шасси с колесами, прогулочный блок и люлька, пеленальный матрасик<br>С универсальной коляской Anex Tempo ваш малыш будет всегда счастлив на прогулке!<br>Производитель: Польша.</p>
				</div>",,,taxable,standard,1,0,1,,,1,,"6235,6",,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша) > Универсальные детские коляски Roan > Универсальные детские коляски Verdi (Польша) > Универсальные детские коляски Tutek (Польша) > Детские коляски Trans Baby (UA) > Универсальные детские коляски Ajax Group  > Детские коляски Anex,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/1095/universalnaya_kolyaska_3_v_1_anex_tempo_bejeviy_72512ea3ff7e6fda2361698eb87e99eb-500x500.jpg,,,,,,,,
simple,,Универсальная детская коляска Viola Ajax,1,1,visible,,"<div class=""b-description"">
				<div>
<p><sup>Универсальная детская коляска Viola Ajax - креативная новинка от польского производителя Ajax Group. Ее отличие на фоне других моделей - в интересном сочетании материалов - стрейч-кожи и ткани с пропиткой. Таких колясок вы не встретите на улицах вашего города!</sup></p>
<p><sup>6 неповторимых сочетаний цветов сделают вас заметными и стильными на прогулках с ребенком.</sup></p>
<p><sup>Ну а функционал  универсальной детской коляски Viola Ajax (Виола Аякс), несомненно удослетворит и вас и малыша!</sup></p>
<p><sup>Особенности люльки:</sup></p>
<p><sup>100% хлопковая оббивка внутренности люльки, легко стирается. Подголовник регулируется по высоте. Удобная ручка из эко-кожи и система вентиляции на молнии. Люлька достаточно просторная и удобная.</sup></p>
<p><sup>Прогулочный блок и люлька устанавливаются в любом направлении движения коляски.</sup></p>
<p><sup>Шести-пружинная система амортизации, <span>система торможения Easy stop без тросиков, представлена новая педалька с учетом эргономики.</span></sup></p>
<div dir=""ltr""></div>
</div>
<div>
<p dir=""ltr""><sup>Шасси 57см - подходит для узких лифтов.</sup></p>
<p><sup>Прогулочный блок просторный и удобный - спинка регулируется до положения лежа. пластиковая подножка обтянута силиконом. Бампер съемный, плюс ремни безопасности.</sup></p>
<p><sup>В комплектации есть москитная сетка, дождевик, сумка для мамы, чехол на ножки, корзина для покупок.</sup></p>
<p><sup>Производитель: Ajax (Польша).</sup></p>
</div>
				</div>",,,taxable,standard,1,0,1,,,1,,"7021,6",,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша) > Универсальные детские коляски Roan > Универсальные детские коляски Verdi (Польша) > Универсальные детские коляски Tutek (Польша) > Детские коляски Trans Baby (UA) > Универсальные детские коляски Ajax Group ,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/789/Viola3.png,,,,,,,,
simple,,Коляска универсальная Anex Retro,1,1,visible,,"<div class=""b-description"">
				<p>Коляска универсальная Anex Retro создана для детей от 0 до 36 месяцев. Она легко и удобно складывается как книга (без необходимости снимать колеса), имеет надувные колеса с подшипником, передние колеса поворотные, фиксируемые при необходимости, удобный задний ножной тормоз. Ручка регулируется по высоте, выполнена из эко-кожи. Блоки реверсивные, то есть устанавливаются в любом направлении движения. Капюшон люльки и прогулочного блока имеет систему вентиляции и плавно регулируется.В прогулочном блоке есть плавная регулировка положений спинки, пяти-точечные ремни безопасности, съемный бампер, регулируемая подножка.<br>Ширина шасси универсальной коляски Анекс Ретро - 59см, что позволяет ей проезжать в любой лифт. Вес коляски 14-15кг в зависимости от комплектации. <br>В комплектацию входят: москитная сетка, дождевик, сумка для мамы, багажная корзина, шасси с колесами, прогулочный блок и люлька.<br>С универсальной коляской Anex Retro ваш малыш будет всегда счастлив на прогулке!<br>Производитель: Польша.</p>
<p></p>
				</div>",,,taxable,standard,1,0,1,,,1,,"6969,2",,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша) > Универсальные детские коляски Roan > Универсальные детские коляски Verdi (Польша) > Универсальные детские коляски Tutek (Польша) > Детские коляски Trans Baby (UA) > Универсальные детские коляски Ajax Group  > Детские коляски Anex,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/1093/universalnaya_kolyaska_2_v_1__anex_retro_chervoniy_920569f69e1926cb02bd186c28dfbf0f-500x500.jpg,,,,,,,,
simple,,Коляска универсальная Anex Stella,1,1,visible,,"<div class=""b-description"">
				<p>Коляска универсальная Anex Stella создана для детей от 0 до 36 месяцев. Она легко и удобно складывается как книга (без необходимости снимать колеса), имеет надувные колеса с подшипником, передние колеса поворотные, фиксируемые при необходимости, удобный задний ножной тормоз. Ручка регулируется по высоте, выполнена из эко-кожи. Блоки реверсивные, то есть устанавливаются в любом направлении движения. Капюшон люльки и прогулочного блока имеет систему вентиляции и плавно регулируется.В прогулочном блоке есть плавная регулировка положений спинки, пяти-точечные ремни безопасности, съемный бампер, регулируемая подножка.<br>Ширина шасси универсальной коляски Анекс Стелла - 59см, что позволяет ей проезжать в любой лифт. Вес коляски 14-15кг в зависимости от комплектации. <br>В комплектацию входят: москитная сетка, дождевик, сумка для мамы, багажная корзина c дополнительными карманчиками, шасси с колесами, прогулочный блок и люлька.<br>С универсальной коляской Anex Stella ваш малыш будет всегда счастлив на прогулке!<br>Производитель: Польша.</p>
<p></p>
				</div>",,,taxable,standard,1,0,1,,,1,,"7047,8",,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша) > Универсальные детские коляски Roan > Универсальные детские коляски Verdi (Польша) > Универсальные детские коляски Tutek (Польша) > Детские коляски Trans Baby (UA) > Универсальные детские коляски Ajax Group  > Детские коляски Anex,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/1094/Anex_Sella_Baige_01-500x500.jpg,,,,,,,,
simple,,Детская универсальная коляска Pride Ajax ,1,1,visible,,"<div class=""b-description"">
				<p>Детская универсальная коляска Pride Ajax - изюминка в коллекции известного польского производителя детских колясок Ajax.</p>
<p>Обтянутый стрейч-кожей низ люльки и сумка для мамы - выгодно отличают эту модель от других в линейке. В свою очередь люлька выполнена из водо-непроницаемой, не выгорающей на солнце ткани. При этом оббивка люльки - это 100% хлопок, съемный, для стирки. В комплектацию люльки входит мягкий флисовый матрасик для теплых прогулок в холодное время года.</p>
<div>
<div>Подголовник регулируется по высоте. Удобная ручка из эко-кожи и система вентиляции на молнии. Люлька достаточно просторная и удобная. Длина ее 84см.</div>
<div>Прогулочный блок и люлька устанавливаются в любом направлении движения коляски.</div>
<div>Шести-пружинная система амортизации, <span>система торможения Easy stop без тросиков, представлена новая педалька с учетом эргономики.</span></div>
<div>
<p>Прогулочный блок просторный и удобный - спинка регулируется до положения лежа. пластиковая подножка обтянута силиконом. Бампер съемный, плюс ремни безопасности. Глубокий капюшон опускается почти до бампера.</p>
<p>В комплектации есть москитная сетка, дождевик, сумка для мамы, чехол на ножки, корзина для покупок.</p>
<p>Производитель: Ajax (Польша).</p>
<p></p>
</div>
</div>
				</div>",,,taxable,standard,1,0,1,,,1,,"6995,4",,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша) > Универсальные детские коляски Roan > Универсальные детские коляски Verdi (Польша) > Универсальные детские коляски Tutek (Польша) > Детские коляски Trans Baby (UA) > Универсальные детские коляски Ajax Group ,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/788/atlantic.jpg,,,,,,,,
simple,,Универсальная коляска Avila Eco,1,1,visible,,"<div class=""b-description"">
				<p>Универсальная коляска Avila <span>Eco</span> Adamex - супер-хит от польской компании Adameх. Легкая алюминивая рама, надувные колеса с двойными амортизаторами и балансировкой позволяют этой коляске легко катиться как по ""сложным"" украинским дорогам, так и преодолевать препятствия в виде бордюров, лестниц и пр.</p>
<p></p>
<p>Характеристики люльки универсальной коляски Avila <span>Eco </span>Adamex:</p>
<p>Люлька оббита тканью из 100% хлопка. Подголовник регулируется для комфорта малыша, который будет начинать приподниматься в попытках видеть окружающий мир. Важно, также, что предусмотрена сетка в задней части люльки - для вентиляции в жаркое время года, и углубленный капюшон для защиты от ветра. Люльку можно установить по направлению движения и против.</p>
<p></p>
<p>Характеристики прогулочного блока универсальной коляски Avila <span>Eco</span> Adamex:</p>
<p>4 положения наклона спинки, включая полностью горизонтальное. Регулируемая подножка. Пятиточечные ремни безопасности. Система складывания ""книга"" и возможность установки блока лицом к маме и в обратном направлении. Съемный защитный бампер.</p>
<p></p>
<p>Размеры коляски: 109*128*59см (то есть входит и в узкий лифт).</p>
<p>Вес 14 кг.</p>
<p>Производитель: Adamex (Польша).</p>
<p></p>
<p>Уважаемые покупатели! Обратите внимание, универсальная коляска Avila <span>Eco</span> Adamex производится в ткани и в эко-коже <span>Avila Eco</span>(специальный сертифицированный материал, имитирующий кожу, экологичен, безопасен, гигроскопичен). </p>
				</div>",,,taxable,standard,1,0,1,,,1,,7729,,100,Коляски детские универсальные > Детские коляски Adamex ,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/763/1.jpg,,,,,,,,
simple,,Детская универсальная коляска Либідь Ajax ,1,1,visible,,"<div class=""b-description"">
				<p>Детская универсальная коляска Либідь Ajax разработана эксклюзивно для украинских родителей. Уважение у украинским традициям в сочетании с современными тенденциями в дизайне - такой коляски вы больше не найдете ни у одного европейского производителя! Национальная украинская вышивка выполнена на капюшоне, чехле-накидке и сумке для мамы.</p>
<div>
<div>Особенности люльки:</div>
<div>100% хлопковая оббивка внутренности люльки, легко стирается. Подголовник регулируется по высоте. Удобная ручка из эко-кожи и система вентиляции на молнии. Люлька достаточно просторная и удобная.</div>
<div>Прогулочный блок и люлька устанавливаются в любом направлении движения коляски.</div>
<div>Шести-пружинная система амортизации, <span>система торможения Easy stop без тросиков, представлена новая педалька с учетом эргономики.</span></div>
<div>
<div dir=""ltr""></div>
</div>
<div>
<p dir=""ltr"">Шасси 57см - подходит для узких лифтов.</p>
<p>Прогулочный блок просторный и удобный - спинка регулируется до положения лежа. пластиковая подножка обтянута силиконом. Бампер съемный, плюс ремни безопасности.</p>
<p>В комплектации есть москитная сетка, дождевик, сумка для мамы, чехол на ножки, корзина для покупок.</p>
<p>Производитель: Ajax (Польша).</p>
</div>
</div>
				</div>",,,taxable,standard,1,0,1,,,1,,"7938,6",,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша) > Универсальные детские коляски Roan > Универсальные детские коляски Verdi (Польша) > Универсальные детские коляски Tutek (Польша) > Детские коляски Trans Baby (UA) > Универсальные детские коляски Ajax Group ,,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/787/lb2.png,,,,,,,,
simple,,Детская универсальная коляска Extreme Ecco,1,1,visible,,"<div class=""b-description"">
				<div>
<p><span>Детская универсальная коляска </span><span>Extreme Ecco характеризуется  современной </span>системой складывания люльки и коляски klik klik, а также системой anti shock.<br>Пневматические колеса, большой регулируемый капюшон, а также ручка из эко-кожи, регулируемая спинка подголовника люльки, центральный тормоз и регулируемая подножка, морозостойкая креативного дизайна люлька - основные достоинства <span> </span><span>Extreme Ecco. Теплый прогулочный блок также имеет несколько положений для сна малыша, мягкий матрасик и чехол на ножки. Большой багажник понравится любой маме. А сумка имеет 2 отделения и карманчик для ключей.</span></p>
<p>И главное достоинство <span>детская универсальной коляски </span><span>Extreme Ecco -в том, что она изготовлена из эко-кожи, современного сертифицированного для детей материла, за которым легко ухаживать и который всегда выглядит очень стильно и современно!</span></p>
</div>
<div><span>Видео об </span><span>Extreme Ecco - </span><span><a href=""https://youtu.be/P6Rx8mExOMM"" data-vdir-href=""https://mail.yandex.ua/re.jsx?uid=199183412&amp;h=a,doaPQnS45lYdw5MEP92RXQ&amp;l=aHR0cHM6Ly95b3V0dS5iZS9QNlJ4OG1FeE9NTQ"" data-orig-href=""https://youtu.be/P6Rx8mExOMM"" class=""daria-goto-anchor"" target=""_blank"">https://youtu.be/P6Rx8mEx<wbr></wbr>OMM</a></span></div>
				</div>",,,taxable,standard,1,0,1,,,1,,12445,,100,Коляски детские универсальные > Детские коляски Adamex  > Универсальные детские коляски Coletto (Польша) > Детские универсальные коляски Tako (Польша),,worldwide,,,,,http://ukrainian-angels.com.ua/assets/images/gallery/1033/Screenshot_1.jpg,,,,,,,,
